id,name,encoder,decoder,muxer,demuxer,protocol,bitfilter,filter,parser,hwaccel,indev,outdev
192,msnwc_tcp,,,,1,,,,,,,
6,msrle,,1,,,,,,,,,
246,msvideo1,1,1,,,,,,,,,
339,mszh,,1,,,,,,,,,
1,mtv,,,,1,,,,,,,
334,mvi,,,,1,,,,,,,
140,mxf,,,1,1,,,,,,,
133,mxf_d10,,,1,,,,,,,,
474,mxg,,,,1,,,,,,,
146,mxpeg,,1,,,,,,,,,
282,nc,,,,1,,,,,,,
189,negate,,,,,,,1,,,,
54,nellymoser,1,1,,,,,,,,,
523,noformat,,,,,,,1,,,,
459,noise,,,,,,1,,,,,
88,nsv,,,,1,,,,,,,
333,null,,,1,,,,1,,,,
138,nullsink,,,,,,,1,,,,
472,nullsrc,,,,,,,1,,,,
421,nut,,,1,1,,,,,,,
229,nuv,,1,,1,,,,,,,
279,ocv,,,,,,,1,,,,
36,ogg,,,1,1,,,,,,,
370,oma,,,,1,,,,,,,
351,oss,,,,,,,,,,1,1
86,overlay,,,,,,,1,,,,
418,pad,,,,,,,1,,,,
387,pam,1,1,,,,,,,,,
196,pbm,1,1,,,,,,,,,
177,pcm_alaw,1,1,1,1,,,,,,,
481,pcm_bluray,,1,,,,,,,,,
286,pcm_dvd,,1,,,,,,,,,
513,pcm_f32be,1,1,1,1,,,,,,,
317,pcm_f32le,1,1,1,1,,,,,,,
127,pcm_f64be,1,1,1,1,,,,,,,
458,pcm_f64le,1,1,1,1,,,,,,,
95,pcm_lxf,,1,,,,,,,,,
267,pcm_mulaw,1,1,1,1,,,,,,,
71,pcm_s16be,1,1,1,1,,,,,,,
406,pcm_s16le,1,1,1,1,,,,,,,
427,pcm_s16le_planar,,1,,,,,,,,,
216,pcm_s24be,1,1,1,1,,,,,,,
4,pcm_s24daud,1,1,,,,,,,,,
21,pcm_s24le,1,1,1,1,,,,,,,
357,pcm_s32be,1,1,1,1,,,,,,,
160,pcm_s32le,1,1,1,1,,,,,,,
497,pcm_s8,1,1,1,1,,,,,,,
300,pcm_u16be,1,1,1,1,,,,,,,
109,pcm_u16le,1,1,1,1,,,,,,,
441,pcm_u24be,1,1,1,1,,,,,,,
251,pcm_u24le,1,1,1,1,,,,,,,
58,pcm_u32be,1,1,1,1,,,,,,,
390,pcm_u32le,1,1,1,1,,,,,,,
200,pcm_u8,1,1,1,1,,,,,,,
336,pcm_zork,1,1,,,,,,,,,
143,pcx,1,1,,,,,,,,,
475,pgm,1,1,,,,,,,,,
284,pgmyuv,1,1,,,,,,,,,
381,pgssub,,1,,,,,,,,,
186,pictor,,1,,,,,,,,,
206,pipe,,,,,1,,,,,,
227,pixdesctest,,,,,,,1,,,,
5,pmp,,,,1,,,,,,,
89,png,1,1,,,,,,,,,
217,pnm,,,,,,,,1,,,
424,ppm,1,1,,,,,,,,,
467,psp,,,1,,,,,,,,
521,ptx,,1,,,,,,,,,
338,pva,,,,1,,,,,,,
328,qcelp,,1,,,,,,,,,
144,qcp,,,,1,,,,,,,
134,qdm2,,1,,,,,,,,,
469,qdraw,,1,,,,,,,,,
276,qpeg,,1,,,,,,,,,
232,qtrle,1,1,,,,,,,,,
83,r10k,,1,,,,,,,,,
416,r210,,1,,,,,,,,,
478,r3d,,,,1,,,,,,,
38,ra_144,1,1,,,,,,,,,
224,ra_288,,1,,,,,,,,,
288,rawvideo,1,1,1,1,,,,,,,
269,remove_extradata,,,,,,1,,,,,
93,rl2,,1,,1,,,,,,,
425,rm,,,1,1,,,,,,,
233,roq,1,1,1,1,,,,,,,
373,roq_dpcm,1,1,,,,,,,,,
40,rpl,,,,1,,,,,,,
30,rpza,,1,,,,,,,,,
374,rso,,,1,1,,,,,,,
10,rtmp,,,,,1,,,,,,
